id,actor_name,character,film_name,year
37169,Leslie Mann,Debbie,I Love You Phillip Morris,2009
38674,Owen Wilson,,The Wendell Baker Story,2005
38679,Will Ferrell,Dave Bix,The Wendell Baker Story,2005
38832,Leonardo DiCaprio,Frank Wheeler,Revolutionary Road,2008
41867,Leslie Mann,Linda,Rio,2011
43073,Owen Wilson,John Beckwith,Wedding Crashers,2005
43074,Vince Vaughn,Jeremy Grey,Wedding Crashers,2005
43590,David Koechner,,Farce of the Penguins,2006
43598,Leonardo DiCaprio,Danny Archer,Blood Diamond,2006
44225,Steve Carell,Ned McDodd: Mayor of WhoVille,Horton Hears a Who!,2008
44233,Seth Rogen,Morton,Horton Hears a Who!,2008
44236,Jonah Hill,Tommy,Horton Hears a Who!,2008
44535,David Koechner,,25 Years of Improv Comedy,2006
45286,Seth Rogen,Mike D (B-Boys 3),Fight for Your Right Revisited,2011
45287,Will Ferrell,Ad-Rock (B-Boys 2),Fight for Your Right Revisited,2011
45326,Steve Carell,Cal Weaver,"Crazy, Stupid, Love.",2011
45590,Owen Wilson,Francis,The Darjeeling Limited,2007
46410,Christoph Waltz,Chudnofsky,The Green Hornet,2011
46412,Seth Rogen,The Green Hornet,The Green Hornet,2011
47523,Matthew McConaughey,,The Dry Gulch Kid,2011
47564,Leonardo DiCaprio,J. Edgar Hoover,J. Edgar,2011
47650,Owen Wilson,Lightning McQueen,Mater and the Ghostlight,2006
48963,Jonah Hill,,Gift of the Night Fury,2011
49586,Vince Vaughn,Mr. Geary,Thumbsucker,2005
50021,Matthew McConaughey,Ward Jansen,The Paperboy,2012
50138,Shia LaBeouf,Sam Witwicky,Transformers,2007
50140,Megan Fox,Mikaela Banes,Transformers,2007
