time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-11-18T21:16:05.790Z,-27.7399,-63.3694,564.05,4.6,mb,,57,5.204,0.64,us,usc000syl2,2014-11-19T05:18:41.788Z,"22km NNE of Suncho Corral, Argentina",earthquake
2014-11-18T21:15:38.760Z,36.9635,140.6389,108.75,4.4,mb,,167,0.815,0.69,us,usc000sylc,2014-11-19T05:18:17.597Z,"22km NNW of Kitaibaraki, Japan",earthquake
2014-11-18T21:08:03.100Z,36.7888,-97.6926,5.548,2.6,ml,,60,,0.59,us,usc000sylx,2014-11-18T22:46:06.637Z,"4km ESE of Medford, Oklahoma",earthquake
2014-11-18T20:59:03.800Z,46.9648,-121.92,12.7,0.3,Md,,237.6,0.04491576,0.06,uw,uw60919847,2014-11-18T22:26:37.669Z,"23km SSE of Buckley, Washington",earthquake
2014-11-18T20:24:24.580Z,38.7576675,-122.732666,2.53,1.27,md,16,135,0.01051,0.03,nc,nc72349466,2014-11-18T23:17:04.507Z,"3km SE of The Geysers, California",earthquake
2014-11-18T20:17:38.200Z,19.4233,-155.6115,2.6,0.8,Md,,108,0.02694946,0.12,hv,hv60803741,2014-11-18T22:23:23.901Z,"26km E of Honaunau-Napoopoo, Hawaii",earthquake
2014-11-18T20:01:38.590Z,-2.9228,127.4714,50.99,4.4,mb,,90,3.671,1.35,us,usc000syjl,2014-11-19T04:04:18.815Z,"55km NE of Namlea, Indonesia",earthquake
2014-11-18T20:00:50.000Z,19.4408,-155.4845,9.9,1.2,Md,,57.6,0.06288207,0.13,hv,hv60803721,2014-11-18T22:04:03.748Z,"25km W of Volcano, Hawaii",earthquake
2014-11-18T19:54:02.000Z,51.753,-175.0677,40.6,2,ml,,,,0.24,ak,ak11444942,2014-11-19T04:10:13.131Z,"77km SW of Atka, Alaska",earthquake
2014-11-18T19:51:32.000Z,65.0646,-150.0079,5,1.2,ml,,,,0.74,ak,ak11444940,2014-11-19T04:10:12.489Z,"30km ENE of Manley Hot Springs, Alaska",earthquake
2014-11-18T19:45:43.910Z,37.6404991,-118.9451675,6.75,1.18,md,13,67,0.02586,0.01,nc,nc72349461,2014-11-18T22:48:05.491Z,"2km ESE of Mammoth Lakes, California",earthquake
2014-11-18T19:45:42.000Z,65.2245,-150.1502,0,2.2,ml,,,,1.1,ak,ak11444936,2014-11-18T21:21:56.658Z,"33km NE of Manley Hot Springs, Alaska",earthquake
2014-11-18T19:43:05.920Z,38.8408318,-122.8294983,2.25,1.7,md,28,55,0.005185,0.03,nc,nc72349456,2014-11-18T22:28:08.602Z,"9km WNW of Cobb, California",earthquake
2014-11-18T19:39:05.180Z,33.8346667,-117.495,0.01,1.36,ml,36,49,0.1028,0.18,ci,ci37062199,2014-11-18T23:07:22.330Z,"2km ESE of El Cerrito, California",quarry_blast
2014-11-18T19:35:16.550Z,38.833168,-122.8078308,2.73,1.13,md,20,50,0.009915,0.03,nc,nc72349446,2014-11-18T21:59:04.446Z,"7km W of Cobb, California",earthquake
2014-11-18T19:33:36.970Z,36.1153333,-117.3638333,1.81,2.93,ml,28,47,0.1164,0.15,ci,ci37062191,2014-11-19T03:36:06.911Z,"38km N of Searles Valley, California",earthquake
2014-11-18T19:32:08.460Z,51.852,-173.5743,38.65,4.9,mb,,176,0.52,1.29,us,usc000syjd,2014-11-19T03:34:33.832Z,"57km SE of Atka, Alaska",earthquake
2014-11-18T19:28:49.400Z,19.4338,-155.6243,3.4,1.3,Md,,144,0.02694946,0.1,hv,hv60803706,2014-11-18T21:22:47.579Z,"25km E of Honaunau-Napoopoo, Hawaii",earthquake
2014-11-18T19:15:05.160Z,37.8016667,-122.5951667,10.19,2.06,md,53,92,0.08959,0.04,nc,nc72349436,2014-11-19T01:46:04.057Z,"9km SSW of Tamalpais-Homestead Valley, California",earthquake
2014-11-18T19:08:13.280Z,-22.6053,-66.3358,282.5,4,mb,,90,2.379,0.5,us,usc000syiz,2014-11-19T03:10:42.299Z,"66km W of Abra Pampa, Argentina",earthquake
2014-11-18T18:55:29.360Z,38.8068352,-122.8105011,3.17,0.55,md,7,194,0.01193,0.01,nc,nc72349431,2014-11-18T19:15:01.624Z,"5km NW of The Geysers, California",earthquake
2014-11-18T18:34:05.010Z,31.8098333,-114.9913333,2.19,2.57,ml,7,145,0.6636,0.46,ci,ci37062183,2014-11-19T02:36:45.059Z,"42km S of Estacion Coahuila, Mexico",earthquake
